Year,Month,DPM_t_C_ha,RPM_t_C_ha,BIO_t_C_ha,HUM_t_C_ha,IOM_t_C_ha,SOC_t_C_ha,deltaC
1982,12,0.1349366741024532,6.203866519095242,0.8069500666408587,27.26099375909532,3.0041,37.41084701893388,34.36169933622413
1983,12,0.036288201437744146,5.850844539469477,0.7689802158549459,27.24370854714025,3.0041,36.90392150390242,29.192817236499913
1984,12,0.03068383553673287,5.619515998684278,0.7400252656345097,27.22142297292459,3.0041,36.615748072780114,25.502788317735224
1985,12,0.6987382580140259,6.065300229910472,0.7373751499334704,27.217693887692402,3.0041,37.72320752555037,29.33588330086434
1986,12,0.11470552788183487,6.285405674232794,0.8254665989910422,27.34204026113777,3.0041,37.57171806224344,26.433920285398482
1987,12,0.1436552472837323,6.1230235838271705,0.7970903931376648,27.338446780236744,3.0041,37.40631600448531,23.7820796750019
1988,12,0.04688374941993655,5.844012367491787,0.7682078530532387,27.327458878895403,3.0041,36.99066284886037,19.98738925161159
1989,12,0.10468022175891409,5.745613447659389,0.7496269279075052,27.314072337209563,3.0041,36.91809293453537,17.91006505100934
1990,12,0.5250865645914741,6.257660624230801,0.7794408744575502,27.35455024889328,3.0041,37.9208383121731,20.268439003717774
1991,12,0.10676241496759012,6.605419009233963,0.8708075619898387,27.492084413285646,3.0041,38.079173399477035,19.03220951224327
1992,12,0.09478258952287409,6.305368797403663,0.8283887120570113,27.488324148004065,3.0041,37.72096424698761,15.908504688062042
1993,12,0.07127059535654684,5.892270307366745,0.7727481476579213,27.45118914268444,3.0041,37.19157819306566,12.300119512980157
1994,12,0.03315090306317445,5.559905026120784,0.7323773678434158,27.412280832726005,3.0041,36.74181412975338,9.132955826652411
1995,12,0.25220121304131204,5.815560975819996,0.7512782287698644,27.425698072376296,3.0041,37.24883849000747,9.26093104598591
1996,12,0.5155737963974117,6.484063258139185,0.8166088701906008,27.511361656613047,3.0041,38.33170758134025,11.237965136739136
1997,12,0.1935898350446198,6.583562086618775,0.8578427283890272,27.590337719048186,3.0041,38.22943236910061,9.899087494732672
1998,12,0.06384807685589937,6.384040944723103,0.842563446525528,27.617595430712562,3.0041,37.912147898817096,7.596164211183254
1999,12,0.44656387670373177,5.860885143901963,0.7321375827530515,27.50723636163324,3.0041,37.55092296499199,4.953120133958544
2000,12,0.3637444506742312,6.1247325354428215,0.7803266135893946,27.560363315648495,3.0041,37.83326691535494,4.313906368374143
2001,12,0.05493572432246092,6.019114580654801,0.7965447144692996,27.60069272655078,3.0041,37.475387745997345,2.373635482654235
2002,12,0.19957564876581202,6.251767865250209,0.8127695086067316,27.63734967959048,3.0041,37.90556270221323,2.4598861007127937
2003,12,0.30687519420357534,6.557710269026254,0.8417663528409841,27.692821653478536,3.0041,38.40327346954935,2.752859054721668
2004,12,0.5294252837929009,6.498957104540612,0.8099408216580741,27.686892743145773,3.0041,38.52931595313736,1.8579710897839163
2005,12,0.19835885182159238,6.371252185691489,0.8255099738796344,27.73107800581731,3.0041,38.13029901721003,0.10494161014218406
2006,12,0.033494031869563186,6.380283478283306,0.8479180152219067,27.796602723484437,3.0041,38.06239824885921,-1.107811536731118
2007,12,0.1858764195450398,6.370323733617322,0.8285615862243552,27.802662060467732,3.0041,38.19152379985445,-1.6364720117949538
